County,MedianHI,EOY 2020,EOY 2023(08/2023),Growth rate
Allegany County,43535,77,280,5.31621622
Anne Arundel County,97051,3038,10510,4.73612483
Baltimore City,50501,3092,7902,2.95952654
Baltimore County,75836,1530,3727,2.76327485
Calvert County,106270,335,870,3.23810034
Caroline County,56627,31,157,14.0535714
Carroll County,95956,614,1639,3.21301
Cecil County,72739,182,490,3.32919557
Charles County,92616,413,1397,4.48399716
Dorchester County,48682,49,128,3.245
Frederick County,95196,1578,4383,3.45643632
Garrett County,49147,21,78,6.3
Harford County,87959,691,2007,3.70013692
Howard County,116719,3400,9183,3.05747069
Kent County,55514,55,110,2.92147436
Montgomery County,107758,10340,25637,2.75019137
Prince George's County,82445,2430,7332,3.77794725
Queen Anne's County,93751,186,492,3.25
St. Mary's County,89964,352,879,3.07235393
Somerset County,42098,11,40,7.16666667
Talbot County,64245,174,447,3.12367865
Washington County,62556,323,764,2.77583295
Wicomico County,54313,153,410,3.78164443
Worcester County,59266,127,383,4.40816844
