geo,Median Household Income ($ Dollars)
Allegany County,43535
Anne Arundel County,97051
Baltimore City,50501
Baltimore County,75836
Calvert County,106270
Caroline County,56627
Carroll County,95956
Cecil County,72739
Charles County,92616
Dorchester County,48682
Frederick County,95196
Garrett County,49147
Harford County,87959
Howard County,116719
Kent County,55514
Montgomery County,107758
Prince George's County,82445
Queen Anne's County,93751
St. Mary's County,89964
Somerset County,42098
Talbot County,64245
Washington County,62556
Wicomico County,54313
Worcester County,59266
